Date,consumer_sentiment,cpi_inflation,unemployment_rate,gdp_growth,gdp_yoy_growth,cpi_yoy,consumer_sentiment_zscore,unemployment_rate_zscore,gdp_yoy_growth_zscore,cpi_yoy_zscore
2010-03-01,73.6,217.353,9.9,14908.332,3.545965175121535,2.2861714393279886,-0.40524010190122123,1.9656007327463194,-0.2837656566272644,-0.13876178672482495
2010-04-01,72.2,217.403,9.9,14980.193,4.16485064287937,2.2067707525304403,-0.5093612205020147,1.9656007327463194,-0.08338208303965236,-0.18006808316139078
2010-05-01,73.6,217.29,9.6,15033.997666666666,4.375329224814384,2.003548929218568,-0.40524010190122123,1.8237126248540039,-0.015233043178379596,-0.2857893459698982
2010-06-01,76.0,217.199,9.4,15087.802333333333,4.585149841724623,1.1215605940686268,-0.226746755728431,1.729120552925794,0.052702959877492385,-0.7446225512567516
2010-07-01,67.8,217.605,9.4,15141.607,4.794315574035424,1.3407784804821077,-0.8365990218187964,1.729120552925794,0.12042692351224446,-0.6305797215834917
2010-08-01,68.9,217.923,9.5,15197.562666666667,4.692815885402513,1.1501775395112546,-0.7547895714896005,1.7764165888898988,0.08756321708207328,-0.7297352740902937
2010-09-01,68.2,218.275,9.5,15253.518333333333,4.592255147151936,1.1183122472331775,-0.8068501307899977,1.7764165888898988,0.05500352527631273,-0.7463124255226502
2010-10-01,67.7,219.035,9.4,15309.474,4.492620390247959,1.1666951489314625,-0.8440362445759956,1.729120552925794,0.022743648963036465,-0.7211423853049087
2010-11-01,71.6,219.59,9.8,15323.465333333334,4.319067182715952,1.084544776600338,-0.5539845570452128,1.9183046967822144,-0.033449643244729564,-0.7638791394659378
2010-12-01,74.5,220.472,9.3,15337.456666666667,4.146404602450016,1.437793022217937,-0.33830509708642464,1.6818245169616892,-0.08935456695200988,-0.5801102410131866
2011-01-01,74.2,221.187,9.1,15351.448,3.9746258113150246,1.7007834915029774,-0.3606167653580232,1.5872324450334785,-0.14497333621944153,-0.44329577853910557
2011-02-01,77.5,221.898,9.0,15420.145,3.934048737061535,2.124898173333145,-0.11518841437043736,1.5399364090693737,-0.15811143618824816,-0.22266032212995987
2011-03-01,67.5,223.046,9.0,15488.842,3.8938628412621856,2.619241510354109,-0.858910690090395,1.5399364090693737,-0.1711228798682345,0.034509902007945084
2011-04-01,69.8,224.093,9.1,15557.539,3.854062494388444,3.0772344447868694,-0.6878545666748049,1.5872324450334785,-0.18400948999576072,0.2727697040140455
2011-05-01,74.3,224.806,9.0,15587.586000000001,3.682243044115596,3.4589718808964998,-0.353179542600824,1.5399364090693737,-0.23964142393382554,0.4713594181947782
2011-06-01,71.5,224.806,9.1,15617.633,3.511649045773324,3.5023181506360412,-0.5614217798024119,1.5872324450334785,-0.294876579388792,0.4939092718483883
2011-07-01,63.7,225.395,9.0,15647.68,3.3422674356823556,3.5798809769996165,-1.1415251548639787,1.5399364090693737,-0.3497191861363991,0.534259465624428
2011-08-01,55.8,226.106,9.0,15712.539666666667,3.3885499359020077,3.75499603070808,-1.7290657526827455,1.5399364090693737,-0.3347337756335752,0.6253588579688565
2011-09-01,59.5,226.597,9.0,15777.399333333333,3.434492872737227,3.812621692818685,-1.453888510666361,1.5399364090693737,-0.31985830942250965,0.6553372218533303
2011-10-01,60.8,226.75,8.8,15842.259,3.480099969469874,3.5222681306640524,-1.3572046148227668,1.4453443371411638,-0.305091581973967,0.5042877688384929
2011-11-01,63.7,227.169,8.6,15917.774333333333,3.8784242798343582,3.451432214581729,-1.1415251548639787,1.3507522652129533,-0.17612159816286158,0.467437088245356
2011-12-01,69.9,227.223,8.5,15993.289666666667,4.276021861077806,3.062066838419386,-0.6804173439176047,1.3034562292488483,-0.04738691568922505,0.2648791218274472
2012-01-01,75.0,227.842,8.3,16068.805,4.6728947002263155,3.0087663379855023,-0.30111898330042675,1.2088641573206387,0.08111310880893972,0.23715081921524248
2012-02-01,75.3,228.329,8.3,16114.908333333333,4.505556422026724,2.8981784423473878,-0.2788073150288283,1.2088641573206387,0.026932094824050262,0.1796201279358188
2012-03-01,76.2,228.807,8.2,16161.011666666667,4.339702520476774,2.5828752813320977,-0.21187231021403163,1.1615681213565328,-0.026768305682092226,0.015591246554833531
2012-04-01,76.4,229.187,8.2,16207.115,4.17531333201222,2.2731633741348567,-0.1969978646996323,1.1615681213565328,-0.07999445940490695,-0.14552891958733657
2012-05-01,79.3,228.713,8.2,16244.590333333334,4.214920343235518,1.7379429374660749,0.01868159525915479,1.1615681213565328,-0.06717044775570392,-0.42396447106208196
2012-06-01,73.2,228.524,8.2,16282.065666666665,4.254374953404683,1.653870448297634,-0.4349889929300189,1.1615681213565328,-0.054395780725879576,-0.46770116024974795
2012-07-01,72.3,228.59,8.2,16319.541,4.29367804045071,1.4175114798464783,-0.5019239977448156,1.1615681213565328,-0.041670174057749365,-0.5906612253330364
2012-08-01,74.3,229.918,8.1,16353.167,4.0771724172152135,1.6859349154821235,-0.353179542600824,1.114272085392428,-0.11177065750086336,-0.4510203928657062
2012-09-01,78.3,231.015,7.8,16386.793,3.862446869676339,1.9497168982819613,-0.05569063231284097,0.9723839775001129,-0.18129478562796394,-0.31379416453424497
2012-10-01,82.6,231.638,7.8,16420.419,3.6494795344527597,2.1556780595369363,0.26410994624674056,0.9723839775001129,-0.2502496373942204,-0.20664782708619134
2012-11-01,82.7,231.249,7.7,16496.342333333334,3.634729252244928,1.7960197033926262,0.27154716900394077,0.9250879415360079,-0.25502550371232824,-0.3937514312737001
2012-12-01,72.9,231.221,7.9,16572.265666666666,3.6201182625154704,1.7595049796895523,-0.45730066120161744,1.019680013464218,-0.2597562697234414,-0.4127473375109373
2013-01-01,73.8,231.679,8.0,16648.189,3.605644601449809,1.684061762098299,-0.3903656563868219,1.0669760494283231,-0.2644425712740992,-0.45199485583402654
2013-02-01,77.6,232.937,7.7,16675.021666666667,3.4757463197898186,2.0181404902574807,-0.1077511916132382,0.9250879415360079,-0.3065012125542402,-0.2781984375022881
2013-03-01,78.6,232.282,7.5,16701.854333333333,3.346589172893144,1.5187472411246183,-0.03337896404124245,0.8304958696077978,-0.34831988821857623,-0.537995756884401
2013-04-01,76.4,231.797,7.6,16728.687,3.2181668359853255,1.138808047576867,-0.1969978646996323,0.8777919055719027,-0.3899006461111341,-0.7356499786491145
2013-05-01,84.5,231.893,7.5,16803.737333333334,3.442050482816117,1.3903888279197085,0.40541717863353294,0.8304958696077978,-0.3174112962120099,-0.6047711322597803
2013-06-01,84.1,232.445,7.5,16878.787666666667,3.664903533841146,1.7157935271568725,0.3756682876047342,0.8304958696077978,-0.24525563401641381,-0.435487168724129
2013-07-01,85.1,232.9,7.3,16953.838,3.886733088877925,1.885471805415806,0.45004051517673,0.7359037976795876,-0.17343136073583174,-0.34721612796499524
2013-08-01,82.1,233.456,7.2,17033.231666666667,4.1586113972092775,1.538809488600279,0.2269238324607427,0.6886077617154827,-0.08540223443922168,-0.5275588554565034
2013-09-01,77.5,233.544,7.2,17112.625333333333,4.429373906983103,1.0947341081747997,-0.11518841437043736,0.6886077617154827,0.0022656170916854016,-0.758578384932437
2013-10-01,73.2,233.669,7.2,17192.019,4.6990274730504655,0.8767991434911471,-0.4349889929300189,0.6886077617154827,0.08957441332983607,-0.871953805450757
2013-11-01,75.1,234.1,6.9,17193.925333333333,4.228713165041609,1.2328701961954458,-0.2936817605432276,0.5467196538231676,-0.06270458926111867,-0.6867164095452853
2013-12-01,82.5,234.719,6.7,17195.83166666667,3.7627082050358363,1.5128383667573297,0.25667272348954145,0.4521275818949574,-0.21358830532867334,-0.5410697065700502
2014-01-01,81.2,235.288,6.6,17197.738,3.3009536352572866,1.557758795574915,0.15998882764594716,0.4048315459308521,-0.3630958243012171,-0.5177009345400565
2014-02-01,81.6,235.547,6.7,17304.661333333333,3.7759451187119764,1.1204746347724948,0.18973771867474482,0.4521275818949574,-0.2093024395200847,-0.7451874954456911
