Date,maximalism_score,minimalism_score,fashion_index
2014-07-01,-0.11149721925144344,0.08829088339963728,-0.1997881026510807
2014-08-01,-0.11608966488361054,-0.08322603602215875,-0.03286362886145179
2014-09-01,-0.571298366819352,-0.2105781405274259,-0.36072022629192607
2014-10-01,-0.04980871677692641,-0.30627015133291596,0.2564614345559896
2014-11-01,-0.3337534928793135,-0.4318377154891124,0.09808422260979888
2014-12-01,-0.06843083537388323,-0.42660897642068435,0.3581781410468011
2015-01-01,-0.25916137993298527,-0.25975528091449923,0.0005939009815139618
2015-02-01,-0.17486924835061482,-0.2731312047981381,0.09826195644752331
2015-03-01,-0.561550891387918,-0.12983457592539147,-0.43171631546252653
2015-04-01,-0.2433455991188712,0.28794236006860835,-0.5312879591874795
2015-05-01,-0.3900040478036187,0.3490232338480644,-0.7390272816516831
2015-06-01,-0.26991397125536104,0.1293855855869217,-0.39929955684228274
2015-07-01,-0.5044908343165748,-0.03662916882991032,-0.4678616654866645
2015-08-01,-0.6254909351134554,0.021515026478544464,-0.6470059615919999
2015-09-01,-0.3508627377945806,-0.08003017777155533,-0.27083256002302525
2015-10-01,-0.440309899176218,-0.18872821364875125,-0.25158168552746674
2015-11-01,-0.31726592400245823,-0.21764789048437133,-0.0996180335180869
2015-12-01,-0.06957909580838813,-0.23753599313463503,0.1679568973262469
2016-01-01,-0.04598947546786436,-0.09688288271903553,0.05089340725117117
2016-02-01,-0.20621216371570542,0.04494380201883993,-0.25115596573454535
2016-03-01,-0.28400479521454775,0.27838547367728034,-0.5623902688918281
2016-04-01,-0.3660007039808347,0.21707811095337498,-0.5830788149342097
2016-05-01,-0.43830497785220945,0.2499949641123333,-0.6882999419645428
2016-06-01,-0.42893828704436787,0.14045412948789798,-0.5693924165322659
2016-07-01,-0.23966347578825342,0.12641536521754254,-0.36607884100579596
2016-08-01,-0.5324483583023889,0.13827923036974324,-0.6707275886721321
2016-09-01,-0.21385094438675586,0.01967347767928363,-0.2335244220660395
2016-10-01,-0.049562394902840735,0.0757496352440282,-0.12531203014686892
2016-11-01,0.04128200401632474,-0.14944698845455862,0.19072899247088335
2016-12-01,0.22158708046459769,-0.16060405867525054,0.38219113913984826
2017-01-01,-0.1611987581737436,0.010390014631306534,-0.17158877280505014
2017-02-01,-0.48499322822476926,0.023454775722296733,-0.508448003947066
2017-03-01,-0.47887746604669734,0.23536357891853274,-0.7142410449652301
2017-04-01,-0.4566549196153627,0.30187812580877554,-0.7585330454241382
2017-05-01,-0.4079590926898568,0.2671287194871731,-0.6750878121770298
2017-06-01,-0.2203084181341584,0.19859607843996768,-0.4189044965741261
2017-07-01,-0.4309432083683763,0.13678698632949587,-0.5677301946978721
2017-08-01,-0.4896274021401357,0.13168505223610172,-0.6213124543762374
2017-09-01,-0.2779730857087269,0.17508810692323684,-0.45306119263196376
2017-10-01,0.12521892025281053,0.18808556188993855,-0.06286664163712802
2017-11-01,0.145651391392787,0.04495121066377799,0.10070018072900899
2017-12-01,0.36892027049395015,-0.025305729471652043,0.3942259999656022
2018-01-01,0.00629603837487811,0.14707339438722927,-0.14077735601235117
2018-02-01,-0.08062534579885022,0.08389703979358655,-0.16452238559243676
2018-03-01,-0.1535933220447624,0.19772788236774191,-0.3513212044125043
2018-04-01,-0.36358233617361113,0.32933077055323023,-0.6929131067268414
2018-05-01,-0.15909006341336002,0.33858560994721215,-0.49767567336057217
2018-06-01,-0.3582581498734091,0.23764043007912564,-0.5958985799525347
2018-07-01,-0.3244614296111437,0.17773377199944376,-0.5021952016105875
2018-08-01,-0.0901945376496961,0.23037012382027572,-0.3205646614699718
2018-09-01,0.10112931381443449,0.2582774396642802,-0.1571481258498457
2018-10-01,0.36471922682965985,0.24927812187008783,0.11544110495957202
2018-11-01,0.40858407388419044,0.04183403203304842,0.366750041851142
2018-12-01,0.6424209695338933,-0.04618401206893315,0.6886049816028265
2019-01-01,0.3329245352656155,0.19240246592455962,0.14052206934105588
2019-02-01,0.44385615056122835,0.07153777159662349,0.37231837896460485
2019-03-01,0.5131981420659709,0.19444499655733746,0.31875314550863343
2019-04-01,0.7491249058707122,0.3746214625616726,0.3745034433090396
2019-05-01,0.6547072894636441,0.16261961861631313,0.49208767084733096
2019-06-01,0.5297634724218294,0.2019094139155099,0.32785405850631955
2019-07-01,0.36234879452822205,0.24882815057585028,0.11352064395237177
2019-08-01,0.39412555982309827,0.24536584172248146,0.1487597181006168
2019-09-01,0.45916610913482253,0.22115890426442247,0.23800720487040006
2019-10-01,0.6652434455412282,0.12144764215093551,0.5437958033902927
2019-11-01,0.40565693055458335,-0.05645594921147105,0.4621128797660544
2019-12-01,0.689674639959958,-0.04037411639759423,0.7300487563575523
2020-01-01,0.21787942388700166,0.14556207677061453,0.07231734711638713
2020-02-01,0.3428448638183714,0.10269903012536422,0.2401458336930072
2020-03-01,-0.14984736883099667,-0.15091350046315605,0.0010661316321593783
2020-04-01,-0.253249970032256,-0.21802732673212658,-0.03522264330012945
2020-05-01,-0.0770481903770171,-0.08236596296914256,0.005317772592125458
2020-06-01,0.015920978337361818,-0.10680206125964857,0.12272303959701039
2020-07-01,0.2238014131696895,0.006427571162604895,0.2173738420070846
2020-08-01,0.0708163175227357,0.062139728132422835,0.00867658939031287
2020-09-01,0.3322695610386983,0.1743419842554746,0.15792757678322372
2020-10-01,0.45270320039062495,0.011963077455051884,0.4407401229355731
2020-11-01,0.25548464000365906,-0.007496390363994365,0.2629810303676534
2020-12-01,0.34759330038789177,-0.08231868867720753,0.4299119890650993
2021-01-01,0.14000648268985888,0.047278202133551474,0.09272828055630741
2021-02-01,0.0033184745821965957,0.026083618764891358,-0.022765144182694763
2021-03-01,0.11896763378298032,0.18995134007247275,-0.07098370628949242
